,model_type,model,precision,prep_time,NMS_time,latency,inference_time,total_time,FPS,experiment_time
0,openvino,yolov5n,fp32,4.785034322738647,3.4058541297912597,8.190888452529906,111.56731162071227,119.7582000732422,8.350158898417112,688
1,openvino,yolov5n,fp16,4.549678421020508,2.8428331851959228,7.392511606216431,103.97485456466674,111.36736617088317,8.979291100999824,635
2,openvino,yolov5n,int8,5.175063037872315,3.3939929008483887,8.569055938720703,90.33712897300721,98.90618491172792,10.110591171750107,579
3,openvino,yolov5s,fp32,6.042611408233643,4.120176219940186,10.16278762817383,256.2889569282531,266.45174455642695,3.75302478002064,1454
4,openvino,yolov5s,fp16,5.138801097869873,4.326814603805542,9.465615701675414,175.07197699546813,184.53759269714354,5.418950065319017,1017
5,openvino,yolov5s,int8,5.191037893295288,4.492684555053711,9.683722448348998,153.177512216568,162.861234664917,6.140196603921587,918
6,openvino,yolov5m,fp32,5.82415018081665,4.592330694198608,10.416480875015258,598.5417938232422,608.9582746982575,1.6421486357099033,3172
7,openvino,yolov5m,fp16,5.495520353317261,4.778150653839112,10.273671007156373,313.76867213249204,324.04234313964844,3.0860164456008845,1747
8,openvino,yolov5m,int8,5.787737941741943,5.232370471954345,11.020108413696288,320.42469997406005,331.4448083877564,3.017093569406894,1792
9,openvino,yolov5l,fp32,6.371295928955078,5.572040748596192,11.943336677551269,1194.879986524582,1206.8233232021332,0.8286217052440145,6175
10,openvino,yolov5l,fp16,6.103252315521241,4.522320747375488,10.625573062896729,608.9787154197693,619.604288482666,1.6139333096755608,3234
11,openvino,yolov5l,int8,6.304326581954956,4.500806427001954,10.80513300895691,621.3554905891418,632.1606235980987,1.5818764451165155,3315
12,openvino,yolov5n6,fp32,5.132541608810425,3.246061849594116,8.378603458404541,117.75604944229126,126.1346529006958,7.92803545261497,727
13,openvino,yolov5n6,fp16,5.321522188186646,3.3750465393066404,8.696568727493286,88.61287031173707,97.30943903923036,10.276495372631317,579
14,openvino,yolov5n6,int8,5.240336132049561,3.495866584777832,8.736202716827393,88.05842385292054,96.79462656974793,10.331152001288249,577
15,openvino,yolov5s6,fp32,6.08130841255188,4.528831958770752,10.610140371322633,260.96849207878114,271.5786324501038,3.6821748124227947,1491
16,openvino,yolov5s6,fp16,5.443018245697021,3.4930009841918945,8.936019229888917,155.0045105457306,163.94052977561952,6.099772895504668,928
17,openvino,yolov5s6,int8,5.313264751434326,3.5410556316375734,8.854320383071899,159.51803736686708,168.37235774993897,5.939217181273703,958
18,openvino,yolov5m6,fp32,6.215648603439331,4.844201850891113,11.059850454330444,597.4711874008178,608.5310378551483,1.6433015537295157,3187
19,openvino,yolov5m6,fp16,5.5048136711120605,5.453505802154541,10.958319473266602,319.60860843658446,330.5669279098511,3.0251060090098005,1784
20,openvino,yolov5m6,int8,5.7302583217620855,5.953565645217895,11.68382396697998,325.8819860458374,337.5658100128174,2.962385319656721,1837
21,openvino,yolov5l6,fp32,5.783245182037353,4.055925130844116,9.83917031288147,1195.121842479706,1204.9610127925873,0.8299023697724669,6167
22,openvino,yolov5l6,fp16,5.816739511489868,4.772367286682129,10.589106798171997,620.6440531253816,631.2331599235536,1.5842006781156848,3295
