,model_ext,model,path_dets,prep_time,normalize,inference,nms
23,,yolov5s6_960_fp16,"image 24/1100 C:\Users\104JVE\PycharmProjects\datasets\scenario\960\kang10305.jpg: 960x960 1 car, 1 truck, ",0.015956640243530273,0.0049898624420166016,0.16455769538879395,0.0029926300048828125
24,,yolov5s6_960_fp16,"image 25/1100 C:\Users\104JVE\PycharmProjects\datasets\scenario\960\kang10320.jpg: 960x960 1 car, 1 truck, ",0.022937774658203125,0.005984067916870117,0.15259385108947754,0.0029935836791992188
25,,yolov5s6_960_fp16,"image 26/1100 C:\Users\104JVE\PycharmProjects\datasets\scenario\960\kang10335.jpg: 960x960 1 car, 1 truck, ",0.021943092346191406,0.0059816837310791016,0.16057205200195312,0.002992391586303711
26,,yolov5s6_960_fp16,"image 27/1100 C:\Users\104JVE\PycharmProjects\datasets\scenario\960\kang1035.jpg: 960x960 1 car, ",0.01795363426208496,0.005982398986816406,0.15857839584350586,0.002992868423461914
27,,yolov5s6_960_fp16,"image 28/1100 C:\Users\104JVE\PycharmProjects\datasets\scenario\960\kang10350.jpg: 960x960 1 person, 1 car, 1 truck, ",0.01795363426208496,0.02094554901123047,0.15957117080688477,0.002993345260620117
28,,yolov5s6_960_fp16,"image 29/1100 C:\Users\104JVE\PycharmProjects\datasets\scenario\960\kang10365.jpg: 960x960 1 car, 1 truck, ",0.017949342727661133,0.004995107650756836,0.14959335327148438,0.001995563507080078
29,,yolov5s6_960_fp16,"image 30/1100 C:\Users\104JVE\PycharmProjects\datasets\scenario\960\kang10380.jpg: 960x960 1 car, 1 truck, ",0.020942211151123047,0.004988431930541992,0.160569429397583,0.002994537353515625
30,,yolov5s6_960_fp16,"image 31/1100 C:\Users\104JVE\PycharmProjects\datasets\scenario\960\kang10395.jpg: 960x960 2 cars, 1 truck, ",0.016950368881225586,0.005985260009765625,0.15358924865722656,0.0029921531677246094
31,,yolov5s6_960_fp16,"image 32/1100 C:\Users\104JVE\PycharmProjects\datasets\scenario\960\kang10410.jpg: 960x960 2 cars, 1 truck, ",0.019947052001953125,0.004987478256225586,0.16455912590026855,0.002991914749145508
32,,yolov5s6_960_fp16,"image 33/1100 C:\Users\104JVE\PycharmProjects\datasets\scenario\960\kang10425.jpg: 960x960 2 cars, 1 truck, ",0.016956329345703125,0.005985736846923828,0.16156554222106934,0.001997232437133789
33,,yolov5s6_960_fp16,"image 34/1100 C:\Users\104JVE\PycharmProjects\datasets\scenario\960\kang10440.jpg: 960x960 2 cars, 1 truck, ",0.01695394515991211,0.0049898624420166016,0.16854572296142578,0.003989696502685547
34,,yolov5s6_960_fp16,"image 35/1100 C:\Users\104JVE\PycharmProjects\datasets\scenario\960\kang10455.jpg: 960x960 2 cars, 1 truck, ",0.015956878662109375,0.004988908767700195,0.15159296989440918,0.0039899349212646484
35,,yolov5s6_960_fp16,"image 36/1100 C:\Users\104JVE\PycharmProjects\datasets\scenario\960\kang10470.jpg: 960x960 2 cars, ",0.015958070755004883,0.0050165653228759766,0.16153597831726074,0.002992868423461914
36,,yolov5s6_960_fp16,"image 37/1100 C:\Users\104JVE\PycharmProjects\datasets\scenario\960\kang10485.jpg: 960x960 2 cars, 1 truck, ",0.014961957931518555,0.004984378814697266,0.15359139442443848,0.002995729446411133
37,,yolov5s6_960_fp16,"image 38/1100 C:\Users\104JVE\PycharmProjects\datasets\scenario\960\kang105.jpg: 960x960 1 car, ",0.015955686569213867,0.003991842269897461,0.16655230522155762,0.004006385803222656
38,,yolov5s6_960_fp16,"image 39/1100 C:\Users\104JVE\PycharmProjects\datasets\scenario\960\kang1050.jpg: 960x960 1 car, ",0.020938396453857422,0.005986452102661133,0.154585599899292,0.003989458084106445
39,,yolov5s6_960_fp16,"image 40/1100 C:\Users\104JVE\PycharmProjects\datasets\scenario\960\kang10500.jpg: 960x960 1 car, 1 truck, ",0.015956640243530273,0.0049877166748046875,0.16356253623962402,0.003989458084106445
40,,yolov5s6_960_fp16,"image 41/1100 C:\Users\104JVE\PycharmProjects\datasets\scenario\960\kang10515.jpg: 960x960 1 car, 1 truck, ",0.02094578742980957,0.004986286163330078,0.15259313583374023,0.0029921531677246094
41,,yolov5s6_960_fp16,"image 42/1100 C:\Users\104JVE\PycharmProjects\datasets\scenario\960\kang10530.jpg: 960x960 2 cars, 1 truck, ",0.01595759391784668,0.004988193511962891,0.1625652313232422,0.002992391586303711
42,,yolov5s6_960_fp16,"image 43/1100 C:\Users\104JVE\PycharmProjects\datasets\scenario\960\kang10545.jpg: 960x960 2 cars, 1 truck, ",0.016951799392700195,0.00498652458190918,0.15159392356872559,0.002992868423461914
43,,yolov5s6_960_fp16,"image 44/1100 C:\Users\104JVE\PycharmProjects\datasets\scenario\960\kang10560.jpg: 960x960 2 cars, 1 truck, ",0.015957355499267578,0.004987478256225586,0.16655492782592773,0.004986763000488281
44,,yolov5s6_960_fp16,"image 45/1100 C:\Users\104JVE\PycharmProjects\datasets\scenario\960\kang10575.jpg: 960x960 1 car, 1 truck, ",0.01695418357849121,0.004987001419067383,0.15358924865722656,0.00399017333984375
45,,yolov5s6_960_fp16,"image 46/1100 C:\Users\104JVE\PycharmProjects\datasets\scenario\960\kang10590.jpg: 960x960 1 car, 1 truck, ",0.024933815002441406,0.0049898624420166016,0.1635589599609375,0.002992868423461914
46,,yolov5s6_960_fp16,"image 47/1100 C:\Users\104JVE\PycharmProjects\datasets\scenario\960\kang10605.jpg: 960x960 1 car, 1 truck, ",0.018950462341308594,0.004988670349121094,0.15159273147583008,0.0029926300048828125
47,,yolov5s6_960_fp16,"image 48/1100 C:\Users\104JVE\PycharmProjects\datasets\scenario\960\kang10620.jpg: 960x960 2 cars, 1 truck, ",0.019943952560424805,0.006983280181884766,0.16156697273254395,0.0029921531677246094
48,,yolov5s6_960_fp16,"image 49/1100 C:\Users\104JVE\PycharmProjects\datasets\scenario\960\kang10635.jpg: 960x960 2 cars, 1 truck, ",0.015956878662109375,0.005986452102661133,0.15657997131347656,0.002992391586303711
49,,yolov5s6_960_fp16,"image 50/1100 C:\Users\104JVE\PycharmProjects\datasets\scenario\960\kang1065.jpg: 960x960 1 car, ",0.019947052001953125,0.007982730865478516,0.16954255104064941,0.002993345260620117
50,,yolov5s6_960_fp16,"image 51/1100 C:\Users\104JVE\PycharmProjects\datasets\scenario\960\kang10650.jpg: 960x960 2 cars, 1 truck, ",0.019942760467529297,0.0049877166748046875,0.15358901023864746,0.0029921531677246094
51,,yolov5s6_960_fp16,"image 52/1100 C:\Users\104JVE\PycharmProjects\datasets\scenario\960\kang10665.jpg: 960x960 2 cars, 1 truck, ",0.017952680587768555,0.005987644195556641,0.16455674171447754,0.002992391586303711
52,,yolov5s6_960_fp16,"image 53/1100 C:\Users\104JVE\PycharmProjects\datasets\scenario\960\kang10680.jpg: 960x960 2 cars, 1 truck, ",0.017949342727661133,0.0059850215911865234,0.1515955924987793,0.003988981246948242
53,,yolov5s6_960_fp16,"image 54/1100 C:\Users\104JVE\PycharmProjects\datasets\scenario\960\kang10695.jpg: 960x960 2 cars, 1 truck, ",0.014961719512939453,0.004986763000488281,0.16156864166259766,0.002991914749145508
54,,yolov5s6_960_fp16,"image 55/1100 C:\Users\104JVE\PycharmProjects\datasets\scenario\960\kang10710.jpg: 960x960 2 cars, 1 truck, ",0.01695394515991211,0.005983114242553711,0.1545884609222412,0.0029926300048828125
55,,yolov5s6_960_fp16,"image 56/1100 C:\Users\104JVE\PycharmProjects\datasets\scenario\960\kang10725.jpg: 960x960 1 car, 1 truck, ",0.034903764724731445,0.00598907470703125,0.1605668067932129,0.003989458084106445
56,,yolov5s6_960_fp16,"image 57/1100 C:\Users\104JVE\PycharmProjects\datasets\scenario\960\kang10740.jpg: 960x960 2 cars, 1 truck, ",0.01795363426208496,0.0049896240234375,0.15158963203430176,0.002992391586303711
57,,yolov5s6_960_fp16,"image 58/1100 C:\Users\104JVE\PycharmProjects\datasets\scenario\960\kang10755.jpg: 960x960 2 cars, 1 truck, ",0.016955852508544922,0.00498652458190918,0.15957283973693848,0.002994537353515625
58,,yolov5s6_960_fp16,"image 59/1100 C:\Users\104JVE\PycharmProjects\datasets\scenario\960\kang10770.jpg: 960x960 2 cars, 1 truck, ",0.01894998550415039,0.003990650177001953,0.15358972549438477,0.0040225982666015625
59,,yolov5s6_960_fp16,"image 60/1100 C:\Users\104JVE\PycharmProjects\datasets\scenario\960\kang10785.jpg: 960x960 2 cars, 1 truck, ",0.016923904418945312,0.0059871673583984375,0.1635589599609375,0.002991199493408203
60,,yolov5s6_960_fp16,"image 61/1100 C:\Users\104JVE\PycharmProjects\datasets\scenario\960\kang1080.jpg: 960x960 1 car, ",0.021940231323242188,0.00498509407043457,0.15359282493591309,0.0029892921447753906
61,,yolov5s6_960_fp16,"image 62/1100 C:\Users\104JVE\PycharmProjects\datasets\scenario\960\kang10800.jpg: 960x960 2 cars, 1 truck, ",0.0169527530670166,0.006003141403198242,0.1635448932647705,0.0019958019256591797
62,,yolov5s6_960_fp16,"image 63/1100 C:\Users\104JVE\PycharmProjects\datasets\scenario\960\kang10815.jpg: 960x960 1 car, 1 truck, ",0.014958858489990234,0.006012678146362305,0.15256404876708984,0.003989219665527344
63,,yolov5s6_960_fp16,"image 64/1100 C:\Users\104JVE\PycharmProjects\datasets\scenario\960\kang10830.jpg: 960x960 2 cars, ",0.019945621490478516,0.004988193511962891,0.15558338165283203,0.00299072265625
64,,yolov5s6_960_fp16,"image 65/1100 C:\Users\104JVE\PycharmProjects\datasets\scenario\960\kang10845.jpg: 960x960 2 cars, ",0.0169522762298584,0.0049898624420166016,0.15159249305725098,0.003989219665527344
65,,yolov5s6_960_fp16,"image 66/1100 C:\Users\104JVE\PycharmProjects\datasets\scenario\960\kang10860.jpg: 960x960 2 cars, ",0.024934053421020508,0.0049860477447509766,0.16855072975158691,0.002992868423461914
66,,yolov5s6_960_fp16,"image 67/1100 C:\Users\104JVE\PycharmProjects\datasets\scenario\960\kang10875.jpg: 960x960 2 cars, ",0.01695418357849121,0.004987239837646484,0.16057205200195312,0.001995563507080078
67,,yolov5s6_960_fp16,"image 68/1100 C:\Users\104JVE\PycharmProjects\datasets\scenario\960\kang10890.jpg: 960x960 2 cars, ",0.021939516067504883,0.005986452102661133,0.16256356239318848,0.0029914379119873047
68,,yolov5s6_960_fp16,"image 69/1100 C:\Users\104JVE\PycharmProjects\datasets\scenario\960\kang10905.jpg: 960x960 2 cars, ",0.015953779220581055,0.004986286163330078,0.15059900283813477,0.003988981246948242
