,model_type,model,precision,prep_time,NMS_time,latency,inference_time,total_time,FPS,experiment_time
0,torch,yolov5n,fp32,3.049144744873047,2.1655470674688164,5.214691812341863,259.7972737659108,265.01196557825267,3.773414524200871,474
1,onnx,yolov5n,fp32,5.28169566934759,3.3586118438027124,8.640307513150303,204.28784760561854,212.92815511876884,4.696419782730056,416
2,openvino,yolov5n,fp32,5.370336229150945,3.1219993938099253,8.492335622960871,120.95639944076538,129.44873506372625,7.725065830173702,353
