,model_type,model,precision,prep_time,NMS_time,latency,inference_time,total_time,FPS,experiment_time,detection_time
0,openvino,yolov5n,fp16,5.452695326371626,3.103797435760498,8.556492762132123,176.8713344227184,185.42782718485054,5.392933817873589,382,380.64270401000977
1,openvino,yolov5n,int8,5.432115034623579,2.9343761097301138,8.366491144353693,169.47461886839432,177.84111001274803,5.622996842115515,372,371.9160041809082
2,openvino,yolov5s,fp16,5.405122366818515,3.1041583147915928,8.509280681610107,386.01329781792384,394.52257849953395,2.534709176349919,611,610.7054142951965
3,openvino,yolov5s,int8,5.391992005434903,3.07420708916404,8.466199094598943,315.73736949400467,324.2035685886036,3.0844817790051677,531,531.033168554306
4,openvino,yolov5m,fp16,5.385151342912154,3.1292672590775927,8.514418601989746,918.1856881488454,926.7001067508352,1.079097749870955,1200,1199.4644629955292
5,openvino,yolov5m,int8,5.389160026203503,3.048011606389826,8.43717163259333,621.5761217204008,630.0132933529942,1.5872680950554223,871,870.196585893631
6,openvino,yolov5l,fp16,5.35734696821733,3.1805495782331987,8.53789654645053,1902.3044482144442,1910.8423447608948,0.5233294116292628,2283,2282.5217850208282
7,openvino,yolov5l,int8,5.409685264934192,3.1731280413540928,8.582813306288285,1198.3593437888405,1206.942157095129,0.8285401202712168,1508,1506.7739918231964
8,openvino,yolov5n6,fp16,5.343666943636807,3.0284935777837583,8.372160521420565,178.783767006614,187.15592752803457,5.3431382762387125,381,380.6526782512665
9,openvino,yolov5n6,int8,5.440868464383212,2.9805131392045454,8.421381603587758,171.69560367410833,180.11698527769607,5.551947243943963,373,372.65499567985535
10,openvino,yolov5s6,fp16,5.214371681213379,3.1297371604225854,8.344108841635965,390.94245325435287,399.2865620959888,2.5044669541360602,614,614.1921381950378
11,openvino,yolov5s6,int8,5.39004000750455,3.0363720113580874,8.426412018862637,321.02216655557805,329.44857857444066,3.0353750631649628,538,537.3722438812256
12,openvino,yolov5m6,fp16,5.348612611944025,3.1491130048578437,8.497725616801869,937.6252443140203,946.1229699308223,1.0569450608234543,1219,1218.9015991687775
13,openvino,yolov5m6,int8,5.390275608409534,3.127273646267978,8.517549254677512,631.8801387873563,640.3976880420338,1.5615296848703846,881,880.8561267852783
14,openvino,yolov5l6,fp16,5.382965044541792,3.188704577359286,8.571669621901078,1914.7776751084762,1923.3493447303772,0.5199263476184479,2296,2294.7511324882507
