,model,img_size,precision,mAP50,mAP,mAP50_8class,mAP_8class,person_mAP.5,car_mAP.5,motorcycle_mAP.5,bus_mAP.5,truck_mAP.5,baseball_bat_mAP.5,knife_mAP.5,cell_phone_mAP.5,person_mAP,car_mAP,motorcycle_mAP,bus_mAP,truck_mAP,baseball_bat_mAP,knife_mAP,cell_phone_mAP,experiment_time
0,yolov5n6,1280,int8,0.450798943824819,0.2770467000897089,0.4875456534368053,0.2912662087400323,0.7288970365281424,0.5884788098528929,0.5643143161209007,0.7363965927395504,0.42623711312671364,0.3357948120825753,0.14827768964262647,0.37196885740104074,0.43747732906604453,0.33724843206111227,0.28654061028921807,0.5672939692324647,0.2608422691245019,0.15100642496558098,0.06776351552505203,0.2219571196562835,1062
1,yolov5n6,1280,fp16,0.5400541561166433,0.34695356192342514,0.5514130027166314,0.34020251528189505,0.7763655326922362,0.6380425622118613,0.6590395930461523,0.7814670854939122,0.4881669568040398,0.4187403233566344,0.20972858024700305,0.43975338788121177,0.49703557306067286,0.3821795113232735,0.3611094050060574,0.6196541515662732,0.30486163373457253,0.19057632968957577,0.10214551616642775,0.26405800170830734,826
2,yolov5n6,1280,fp32,0.5401283181986057,0.34712332615547903,0.5514886031807624,0.33977476214382646,0.77729528947827,0.638019405863828,0.6614776817521646,0.7803467966864597,0.488341873889064,0.4177848278420754,0.2075120183884446,0.44113093154579314,0.49738561264003867,0.3835887725377663,0.36126521829005,0.6193831315322063,0.3045621142906741,0.18731086087833335,0.10116645777547295,0.2635359292060703,976
3,yolov5s6,1280,int8,0.6241454557903472,0.4168613347167513,0.6481672067907132,0.4128900862050784,0.8151161453205944,0.7053051727509027,0.7375699195147647,0.8285745194611758,0.5819680435837944,0.5767432184518813,0.34882173834954644,0.591238896893046,0.5393839594092453,0.4425481357577971,0.4396745087718438,0.6636524648362416,0.38533839147287025,0.27608081160870224,0.19072128245935882,0.3657211353245681,1735
4,yolov5s6,1280,fp16,0.6323976374655358,0.43422044068581445,0.6569914731056329,0.43143359584504426,0.8206794692268964,0.7150709813006948,0.7509916373851308,0.8316057209096914,0.5906168500273201,0.590837307604964,0.3493616384371493,0.6067681799532161,0.5617544773965447,0.45856668611680124,0.4551180939164049,0.6843408828196338,0.39961043385793743,0.3118185919925624,0.1979364150804021,0.38232318558006734,1251
5,yolov5s6,1280,fp32,0.6324979863127299,0.4343549070778477,0.655919051330949,0.43161209658280614,0.8207696651269487,0.7156464941401313,0.7464121036780811,0.8311842013990133,0.5889221352254326,0.5891904418532479,0.3471871933408957,0.6080401758838414,0.5619703792272585,0.45968706023151273,0.45418406588178123,0.684539292879407,0.3982813144624926,0.3126999568126403,0.19797830930549903,0.3835563938618577,1844
6,yolov5m6,1280,int8,0.681199208802166,0.4847140745445867,0.7072789950451037,0.4866692722266781,0.8460871279011278,0.7609395816477315,0.7842403532289051,0.8697336268315163,0.62569036919707,0.6624618196379387,0.45952782051702884,0.6495512613995114,0.6016885968502462,0.5069393586191412,0.5069939844097241,0.7311927913400679,0.4447905070025806,0.3773621733829418,0.28398552081682155,0.44040124539190106,3068
7,yolov5m6,1280,fp16,0.6867170850184328,0.49830524268774284,0.716649243524941,0.5028453438447077,0.8507055873437153,0.7671669105405808,0.7882274251752247,0.8737055168155524,0.632929956475395,0.685159078872597,0.4693268566686746,0.665972616307788,0.6178127816364581,0.5243917111901331,0.5231305727776824,0.7452372282821845,0.45233258625216183,0.3947943432556957,0.2991228275040415,0.46594069985930436,2478
8,yolov5m6,1280,fp32,0.6869068730934937,0.4984418879834049,0.7166566125600601,0.5033601382664192,0.850684810569176,0.7673609933496148,0.7914833543360253,0.874124604199124,0.633171570390417,0.6812626618880426,0.46864988839592614,0.6665150173521548,0.6183515987529218,0.5245305884681792,0.5236918519479841,0.7474170318884513,0.451999298853148,0.3967630982952229,0.2987306430734117,0.46539699485203484,4293
