,model,img_size,precision,mAP50,mAP,mAP50_8class,mAP_8class,person_mAP.5,car_mAP.5,motorcycle_mAP.5,bus_mAP.5,truck_mAP.5,baseball_bat_mAP.5,knife_mAP.5,cell_phone_mAP.5,person_mAP,car_mAP,motorcycle_mAP,bus_mAP,truck_mAP,baseball_bat_mAP,knife_mAP,cell_phone_mAP,experiment_time
0,yolov5n,640,int8,0.4314231790001692,0.24787113508957465,0.44083360141276473,0.24436714815165936,0.6793708211297177,0.5025362184275795,0.5801139747564206,0.6622326101099674,0.38428856646459864,0.30931386764379176,0.09652270122416587,0.3122900515458762,0.37804723103460447,0.267131242243343,0.2584006148699476,0.48249025635231596,0.2103767797416003,0.125431161702402,0.04716161937280068,0.18589827989626084,523
1,yolov5n,640,fp16,0.45486181335672693,0.2707529622038651,0.4596909375405537,0.258513076585943,0.6999077396528962,0.5132597515121207,0.5951781886862397,0.6797055507746579,0.3984619269841213,0.35216091153233664,0.11438555494193574,0.32446787624012124,0.40449227277285155,0.283648180592865,0.27465063275597384,0.503928440712625,0.2211901694381948,0.14229414622091546,0.048771945793746066,0.18912882440037262,382
2,yolov5n,640,fp32,0.45526599098321785,0.2707861004490829,0.4590413789650507,0.25854134177827903,0.7005021872894625,0.5136383012550454,0.5960522143627862,0.6798647771212062,0.39790708764594973,0.3442623494173893,0.11542367870857899,0.32468043591998763,0.40491218729647177,0.28356069354804236,0.2763462752151591,0.5039140333929752,0.2214126578300705,0.14179479429319997,0.04863925333243175,0.18775083931788183,434
3,yolov5s,640,int8,0.5541858113039659,0.3491968312148317,0.5619838666372421,0.3384407866802551,0.7544593357223895,0.6128128522017561,0.6653445623113713,0.7691352127986419,0.5099490323837728,0.4967093082834019,0.23623147898938643,0.45122915040721645,0.47135840765521786,0.3556965358396609,0.36556303793713985,0.6049268769209662,0.3030631139878573,0.2226917897099494,0.12446552778654422,0.2597610036047051,847
4,yolov5s,640,fp16,0.5645432682266455,0.363698641628669,0.571108152578838,0.35006803085230453,0.7628935427006011,0.6244165019414359,0.6769278079773049,0.7737022414787458,0.5176135846375015,0.5020525655007146,0.24049691218275165,0.4707620642116479,0.4873924527186255,0.3710039083401534,0.3699427607350578,0.6100052737194045,0.31635534604492876,0.22932849919310022,0.12922538373260822,0.2872906223345577,464
5,yolov5s,640,fp32,0.5647636469369322,0.36419639452296904,0.5713870224710926,0.35092798041782014,0.7629392090822446,0.6249599551700238,0.6763895815320802,0.773758758460585,0.5177216421774546,0.5008692991300256,0.24487603283495393,0.469581701381373,0.4879464249047042,0.37144110133946323,0.37034914621998427,0.6113645563933637,0.3170884478537019,0.22948505487672838,0.1309029449620392,0.28884616679257646,720
6,yolov5m,640,int8,0.6293221532487827,0.4277831505557422,0.656779847553475,0.42734865051789517,0.8031778308443034,0.6914636778729424,0.7450582165613004,0.8328889286280176,0.5897514226957639,0.6451725761464735,0.3558064158968575,0.5909197117821408,0.5412025348117713,0.4328577856239274,0.45028612889302577,0.6793854527314613,0.38838017189785273,0.35173092460474026,0.20393868055470316,0.37100752502567935,1660
7,yolov5m,640,fp16,0.6357043635213712,0.4403215036123669,0.6606575539697976,0.4386370796239435,0.8070052528864594,0.7010515378498446,0.746281643485571,0.836767791222733,0.5906150206094708,0.6400036959774322,0.35415751461152195,0.6093779751153484,0.5553559604767373,0.45155058738045745,0.45918389983372687,0.6965452359720511,0.3978792251818622,0.3585475152129492,0.20596311959198826,0.38407109334177575,866
8,yolov5m,640,fp32,0.6354700390642277,0.4403623722508371,0.6599687978956588,0.438284515469473,0.8068219356531682,0.7020519026233364,0.7476705376455017,0.8367546854503104,0.5908705394641256,0.635539349176066,0.35151732004888814,0.6085241131038732,0.5557391757571921,0.4501588719092072,0.4600929057191691,0.6974698799933015,0.3987241025499283,0.3555492381923115,0.20409802484839518,0.38444392478627903,1385
9,yolov5l,640,int8,0.6600940308352422,0.460373750489769,0.6837101912133877,0.4565224980685859,0.8176839228399039,0.7225613686667797,0.7621413513557338,0.8557296370719534,0.6329282079056064,0.6853555718737215,0.3703364580792363,0.6229450119141673,0.5683499171613474,0.4630990521700344,0.469617491626788,0.7020913385136124,0.4249759459214614,0.38865691253797846,0.22203341699101395,0.4133559096264513,3146
