,model,precision,resolution,prep_time,NMS_time,latency,inference_time,total_time,FPS,experiment_time
0,yolov5n,fp16,256,0.28435211181640624,0.8842368602752686,1.168588972091675,8.82293028831482,9.991519260406497,100.08487937992685,111
1,yolov5n,fp16,448,1.4649578094482423,1.146220064163208,2.6111778736114504,19.746273231506347,22.3574511051178,44.727817822269195,171
2,yolov5n,fp16,640,2.287252187728882,2.1111271381378174,4.398379325866699,36.25683693885804,40.655216264724736,24.5970896695898,274
3,yolov5n,fp16,832,3.555686330795288,2.4927475452423096,6.048433876037597,64.61977944374084,70.66821331977843,14.150633686958132,428
4,yolov5n,fp16,1024,6.002672910690308,3.642963600158691,9.645636510848998,107.63364148139954,117.27927799224854,8.52665549378718,669
5,yolov5s,fp16,256,0.28743772506713866,1.084157943725586,1.3715956687927247,12.52507152557373,13.896667194366456,71.95969983402841,120
6,yolov5s,fp16,448,1.293470048904419,1.355531120300293,2.649001169204712,30.07741618156433,32.72641735076904,30.556354191837652,221
7,yolov5s,fp16,640,2.477650022506714,2.0394322872161865,4.5170823097229,59.956388521194455,64.47347083091736,15.51025541377344,389
8,yolov5s,fp16,832,3.821428060531616,2.761691665649414,6.58311972618103,114.9171531677246,121.50027289390563,8.230434189009623,696
9,yolov5s,fp16,1024,6.449386882781982,4.489660263061523,10.939047145843507,169.64408025741577,180.58312740325928,5.537615913400951,1005
10,yolov5m,fp16,256,0.24362783432006835,1.1244657516479493,1.3680935859680177,22.491383600234986,23.859477186203005,41.91206673121323,180
11,yolov5m,fp16,448,1.477942943572998,1.6429459095001222,3.1208888530731205,60.65621814727783,63.77710700035095,15.679607417666299,400
12,yolov5m,fp16,640,3.105678415298462,3.0265405654907225,6.132218980789185,127.59306960105896,133.72528858184816,7.4780171395026604,765
13,yolov5m,fp16,832,4.446517562866211,4.3325817584991455,8.779099321365356,238.70939073562622,247.48849005699157,4.0405919474062015,1356
14,yolov5m,fp16,1024,6.367911100387573,4.313555908203125,10.681467008590698,356.3217712402344,367.0032382488251,2.724771598124179,1969
15,yolov5l,fp16,256,0.2843016147613525,0.9746809482574463,1.2589825630187987,40.49844741821289,41.75742998123169,23.947833965104184,283
16,yolov5l,fp16,448,1.7499016284942626,1.961794948577881,3.7116965770721437,120.48535685539245,124.19705343246459,8.051720812714581,717
17,yolov5l,fp16,640,2.9312722206115724,2.60656099319458,5.537833213806152,247.5945508956909,253.13238410949705,3.9505020407322977,1368
18,yolov5l,fp16,832,4.649404382705688,3.379044771194458,8.028449153900146,514.4624084949493,522.4908576488494,1.913909086371173,2726
19,yolov5l,fp16,1024,6.4367089748382575,5.203131580352783,11.63984055519104,688.0284525871276,699.6682931423186,1.4292487022798264,3634
