,model,precision,resolution,prep_time,NMS_time,latency,inference_time,total_time,FPS,experiment_time
0,yolov5n,fp16,256,0.28435029983520504,0.8841823577880858,1.1685326576232908,7.9328104019165036,9.101343059539795,109.87389371635932,101
1,yolov5n,fp16,384,0.8965697288513184,1.015343999862671,1.9119137287139893,15.207808256149292,17.119721984863283,58.41216352018849,137
2,yolov5n,fp16,512,1.6087758541107178,1.4397098541259765,3.0484857082366945,23.59320025444031,26.641685962677002,37.53516205396779,188
3,yolov5n,fp16,640,2.399596118927002,1.692516565322876,4.092112684249878,34.917414569854735,39.00952725410461,25.63476336142421,256
4,yolov5n,fp16,768,3.111959981918335,2.251147174835205,5.363107156753539,52.75576467514038,58.11887183189391,17.206115130597386,362
5,yolov5n,fp16,896,4.761808776855469,2.8804020404815676,7.642210817337037,70.74372377395629,78.38593459129333,12.75739078973837,466
6,yolov5n,fp16,1024,5.843268442153931,3.4334151268005373,9.276683568954468,109.23181486129761,118.50849843025208,8.43821340448886,675
7,yolov5s,fp16,256,0.3061499118804932,0.890425443649292,1.1965753555297851,13.144668769836425,14.34124412536621,69.72895735253825,122
8,yolov5s,fp16,384,0.8309865474700927,1.4117581367492678,2.2427446842193604,22.55405740737915,24.79680209159851,40.32778082859376,180
9,yolov5s,fp16,512,1.5933310985565186,1.6458333969116212,3.23916449546814,37.39869971275329,40.63786420822143,24.607592438327266,267
10,yolov5s,fp16,640,2.521524000167847,2.5703972816467284,5.091921281814575,59.33287544250488,64.42479672431945,15.521973694059234,392
11,yolov5s,fp16,768,3.4871760845184325,2.9909330368041993,6.478109121322632,86.48270525932313,92.96081438064576,10.75722073502185,552
12,yolov5s,fp16,896,4.67760705947876,3.583288240432739,8.2608952999115,126.24284281730652,134.50373811721803,7.434737606537854,766
13,yolov5s,fp16,1024,6.1494849681854244,4.695612192153931,10.845097160339355,167.50138025283815,178.3464774131775,5.607063366232278,995
14,yolov5m,fp16,256,0.24679160118103025,1.1869674682617188,1.4337590694427491,22.681847429275514,24.115606498718265,41.466923092029624,180
15,yolov5m,fp16,384,1.1716896533966064,1.5429737567901611,2.7146634101867675,44.873499155044556,47.58816256523132,21.01362914840961,308
16,yolov5m,fp16,512,1.984159803390503,2.205270290374756,4.189430093765258,78.78386483192445,82.9732949256897,12.052070499256333,505
17,yolov5m,fp16,640,3.024598407745361,2.944960927963257,5.9695593357086185,126.60011367797853,132.56967301368715,7.54320333804214,761
18,yolov5m,fp16,768,3.9338757514953615,4.40182580947876,8.335701560974123,190.64943399429322,198.98513555526733,5.025501011467533,1115
19,yolov5m,fp16,896,5.139417219161987,4.279009056091309,9.418426275253296,264.90775766372684,274.32618393898014,3.64529548598407,1495
20,yolov5m,fp16,1024,7.308770990371704,4.922679615020752,12.231450605392457,362.6380717277527,374.86952233314514,2.667594830799031,2019
21,yolov5l,fp16,256,0.41234726905822755,0.9777549743652343,1.3901022434234618,40.63355312347412,42.023655366897586,23.796121286196083,285
22,yolov5l,fp16,384,1.4560853958129882,1.9711347579956053,3.4272201538085936,85.69145774841309,89.11867790222168,11.220992316528413,541
23,yolov5l,fp16,512,2.0311501502990725,2.5520894527435303,4.583239603042603,154.96940417289733,159.55264377593994,6.267523848769951,894
24,yolov5l,fp16,640,2.858863353729248,2.8690302848815916,5.72789363861084,247.96905102729798,253.69694466590883,3.9417108523592614,1372
25,yolov5l,fp16,768,4.0646155834198,3.0551832199096682,7.119798803329468,363.67062749862674,370.79042630195624,2.696941261330307,1973
26,yolov5l,fp16,896,4.635886478424073,3.5261263847351074,8.16201286315918,508.3927029132843,516.5547157764435,1.9359033408433421,2720
27,yolov5l,fp16,1024,6.858083295822143,5.183833360671997,12.041916656494141,692.778913640976,704.8208302974701,1.4188002922358995,3666
