,model,precision,resolution,prep_time,NMS_time,latency,inference_time,total_time,FPS,experiment_time
0,yolov5n,fp16,256,0.2874142169952393,0.8247872829437256,1.1122014999389649,9.366648864746095,10.47885036468506,95.43031584553549,110
1,yolov5n,fp16,384,1.0620476245880126,1.0748423576354982,2.1368899822235106,15.647989463806152,17.78487944602966,56.22753885032616,141
2,yolov5n,fp16,512,1.712149429321289,1.6394833087921141,3.3516327381134032,23.452619361877442,26.804252099990848,37.30751360901957,189
3,yolov5n,fp16,640,2.3433992385864255,1.6207120418548584,3.964111280441284,34.883061742782594,38.84717302322388,25.741898886752278,256
4,yolov5n,fp16,768,3.018115615844726,2.1696663379669188,5.187781953811645,52.715145874023435,57.90292782783508,17.27028386152315,359
5,yolov5n,fp16,896,4.483811521530152,2.958504581451416,7.442316102981568,71.14632511138916,78.58864121437074,12.724485174291827,468
6,yolov5n,fp16,1024,6.03074631690979,3.427300310134888,9.458046627044677,107.71961088180541,117.17765750885007,8.534050101867527,668
7,yolov5s,fp16,256,0.2968314647674561,1.0435479164123536,1.3403793811798097,12.653345918655395,13.993725299835205,71.4605995597024,121
8,yolov5s,fp16,384,0.9246787548065186,1.199285125732422,2.1239638805389407,22.460319566726685,24.584283447265626,40.676394011850874,179
9,yolov5s,fp16,512,1.7559356212615969,1.617551612854004,3.3734872341156006,38.108002519607545,41.481489753723146,24.107138049694697,266
10,yolov5s,fp16,640,2.6431338787078857,2.338999700546265,4.982133579254151,60.18285059928894,65.1649841785431,15.345664740133099,393
11,yolov5s,fp16,768,3.5305919647216797,2.8173383235931397,6.347930288314819,88.49074501991272,94.83867530822754,10.544221508261062,558
12,yolov5s,fp16,896,4.821472930908203,3.673910522460938,8.49538345336914,127.65168604850768,136.14706950187684,7.344998343766882,775
13,yolov5s,fp16,1024,6.046475839614868,4.476853466033936,10.523329305648804,169.1071916103363,179.63052091598507,5.566982687021821,1004
14,yolov5m,fp16,256,0.2686610698699951,1.0932804584503173,1.3619415283203125,22.687984037399293,24.049925565719604,41.580170269856666,181
15,yolov5m,fp16,384,1.1966259956359864,1.3866671085357667,2.5832931041717533,46.26801695823669,48.851310062408444,20.470280095303107,316
16,yolov5m,fp16,512,2.218581533432007,2.4894436836242675,4.708025217056274,78.31252193450928,83.02054715156555,12.045210906335765,502
17,yolov5m,fp16,640,2.9838796615600587,3.010322618484497,5.994202280044556,128.20988903045654,134.2040913105011,7.451337662175674,771
18,yolov5m,fp16,768,3.768339538574219,4.373612403869629,8.141951942443848,188.35892543792724,196.5008773803711,5.089035801424326,1104
19,yolov5m,fp16,896,5.049262285232544,4.450817060470581,9.500079345703124,264.67071704864503,274.17079639434814,3.6473614737642217,1493
20,yolov5m,fp16,1024,6.904968357086182,4.978753232955933,11.883721590042114,358.25344400405885,370.13716559410096,2.7017011339429176,1994
21,yolov5l,fp16,256,0.4061430931091308,1.0526859760284424,1.4588290691375732,40.814834117889404,42.273663187026976,23.65539025032687,285
22,yolov5l,fp16,384,1.5247634410858153,1.9523205280303955,3.4770839691162108,86.07312726974487,89.55021123886108,11.166919498745319,542
23,yolov5l,fp16,512,2.0531357765197753,2.142653751373291,4.195789527893066,155.768688249588,159.96447777748108,6.2513878949491035,909
24,yolov5l,fp16,640,2.918727159500122,2.7774035930633545,5.696130752563477,247.78869500160218,253.48482575416566,3.9450093196892926,1373
25,yolov5l,fp16,768,4.124243831634521,2.829124593734741,6.953368425369263,367.6669966697693,374.62036509513854,2.6693690284190503,1997
26,yolov5l,fp16,896,4.4959934711456295,3.512740135192871,8.0087336063385,509.0635277748108,517.0722613811492,1.9339656653190112,2725
27,yolov5l,fp16,1024,6.339571619033813,5.512308740615844,11.851880359649657,691.0329309463501,702.8848113059997,1.4227082217667264,3650
28,yolov5n6,fp16,256,0.2811727523803711,0.8779641628265381,1.159136915206909,9.891167926788329,11.050304841995239,90.4952410181148,107
29,yolov5n6,fp16,384,1.0370928764343263,0.8592153072357177,1.896308183670044,16.08849573135376,17.984803915023804,55.60249668135881,145
30,yolov5n6,fp16,512,1.543254518508911,1.652123785018921,3.195378303527832,24.30231246948242,27.49769077301025,36.366690143360245,195
31,yolov5n6,fp16,640,2.243247652053833,1.8142452239990234,4.057492876052857,36.95196237564087,41.00945525169372,24.384620421377072,267
32,yolov5n6,fp16,768,3.289968061447144,2.2763389110565186,5.5663069725036625,57.37600269317627,62.94230966567993,15.887564427036944,390
33,yolov5n6,fp16,896,4.380832481384277,2.964733409881592,7.345565891265869,74.5955671787262,81.94113306999206,12.203882989338519,488
34,yolov5n6,fp16,1024,5.934005546569824,3.639643335342407,9.57364888191223,115.2300078868866,124.80365676879883,8.01258573578913,708
35,yolov5s6,fp16,256,0.2311494827270508,0.7686600685119629,0.9998095512390137,14.93731107711792,15.937120628356935,62.74659164094541,133
36,yolov5s6,fp16,384,0.8340030193328857,1.3399819374084472,2.1739849567413327,24.66955409049988,26.84353904724121,37.25291207840097,195
37,yolov5s6,fp16,512,1.6184547424316404,1.567635679244995,3.1860904216766355,39.192254590988156,42.37834501266479,23.596957354071982,277
38,yolov5s6,fp16,640,2.4246670246124267,2.3047451496124265,4.729412174224853,61.47041630744934,66.19982848167419,15.105779319002702,404
39,yolov5s6,fp16,768,3.5118714332580567,3.0814196586608884,6.593291091918945,89.91971220970153,96.51300330162047,10.361298123474826,573
40,yolov5s6,fp16,896,4.602912712097169,3.458353090286255,8.061265802383424,132.13516368865965,140.1964294910431,7.1328492717704215,796
41,yolov5s6,fp16,1024,5.959108686447143,4.620459365844726,10.579568052291869,170.00369777679444,180.58326582908632,5.537611668549917,1009
42,yolov5m6,fp16,256,0.2842877388000489,1.0838107585906982,1.368098497390747,26.163379049301145,27.531477546691892,36.322060750428456,200
43,yolov5m6,fp16,384,1.112209415435791,1.2744161128997802,2.3866255283355713,48.117578124999994,50.504203653335566,19.80033200531328,329
44,yolov5m6,fp16,512,2.2310540676116943,2.1550845623016355,4.386138629913329,83.19363651275636,87.57977514266969,11.418161309171833,527
45,yolov5m6,fp16,640,2.97467303276062,3.43458399772644,6.40925703048706,140.33581190109254,146.7450689315796,6.8145390320832755,832
46,yolov5m6,fp16,768,4.086995983123779,3.805197525024414,7.892193508148193,204.94035229682922,212.83254580497743,4.698529523376182,1187
47,yolov5m6,fp16,896,5.414488887786865,3.885143995285034,9.299632883071899,273.48132133483887,282.7809542179108,3.536306052738618,1546
48,yolov5m6,fp16,1024,6.7466327190399165,4.628524446487427,11.375157165527344,373.45547666549686,384.83063383102416,2.598545729181974,2064
49,yolov5l6,fp16,256,0.3123368740081787,0.9809344768524171,1.2932713508605957,47.230714559555054,48.523985910415654,20.60836473422004,323
50,yolov5l6,fp16,384,1.3153974056243896,2.0336001873016354,3.348997592926025,90.96768040657044,94.31667799949646,10.602578687147345,573
51,yolov5l6,fp16,512,2.1343494415283204,1.967482852935791,4.101832294464112,156.30720176696778,160.4090340614319,6.234062849708513,906
52,yolov5l6,fp16,640,3.4279452323913575,3.4958573818206786,6.923802614212036,259.3668434143067,266.2906460285187,3.7552952569460656,1442
53,yolov5l6,fp16,768,4.162003755569458,2.801045274734497,6.963049030303955,380.6446837902069,387.6077328205109,2.579927889269095,2063
54,yolov5l6,fp16,896,4.802863550186157,3.8313127994537353,8.634176349639892,520.1301951408386,528.7643714904785,1.8912015519903596,2786
55,yolov5l6,fp16,1024,6.673413610458375,4.9158134937286375,11.589227104187012,699.5085344791412,711.0977615833282,1.4062763997082524,3707
