,model,precision,prep_time,NMS_time,latency,inference_time,total_time,FPS,experiment_time
0,yolov5n,fp16,5.310043811798096,3.4122793674468994,8.722323179244995,201.67017455101012,210.39249773025512,4.7530211903378,1156
1,yolov5s,fp16,5.113989067077637,3.6390332221984862,8.753022289276123,447.86649761199953,456.6195199012756,2.190007120624644,2363
2,yolov5m,fp16,4.626960754394531,3.5999982833862303,8.226959037780762,1053.518233537674,1061.7451925754547,0.94184556425852,5396
3,yolov5l,fp16,4.746373510360718,3.8715496540069583,8.617923164367676,2057.6737401485443,2066.291663312912,0.4839587836291645,10420
4,yolov5n6,fp16,5.162051868438721,3.720904302597046,8.882956171035767,200.0456446647644,208.92860083580015,4.786324112637473,1126
5,yolov5s6,fp16,4.974539375305175,3.6533162117004396,8.627855587005616,449.1858706474304,457.81372623443605,2.1842944907421202,2370
6,yolov5m6,fp16,4.440330934524536,3.8942593097686764,8.334590244293214,1064.2188457012176,1072.5534359455107,0.9323544790273771,5463
7,yolov5l6,fp16,4.678303766250611,3.8754449367523196,8.553748703002931,2096.072937631607,2104.6266863346104,0.4751436473237857,10623
