engine,model,precision,prep_time,NMS_time,latency,inference_time,total_time,FPS,experiment_time,expected_time,diff,%_diff,real_FPS,,,
openvino,yolov5n,fp16,4.80,3.14,7.94,91.27,99.21,10.08,579,496.1,82.9,16.7%,8.64,,,
openvino,yolov5s,fp16,5.38,3.99,9.37,177.93,187.30,5.34,1028,936.5,91.5,10%,4.86,,,
openvino,yolov5m,fp16,5.55,4.91,10.46,313.45,323.91,3.09,1746,1619.5,126.5,8%,2.86,,100,116.7
openvino,yolov5l,fp16,5.76,4.51,10.27,615.35,625.62,1.60,3261,3128.1,132.9,4%,1.53,,8.637532134,10.08
openvino,yolov5n6,fp16,5.54,3.24,8.78,94.67,103.45,9.67,600,517.3,82.7,16%,8.33,,,
openvino,yolov5s6,fp16,5.69,4.01,9.71,159.09,168.80,5.92,942,844.0,98.0,12%,5.31,,,
openvino,yolov5m6,fp16,5.50,5.69,11.20,321.27,332.47,3.01,1792,1662.3,129.7,8%,2.79,,,
openvino,yolov5l6,fp16,5.97,4.48,10.46,621.08,631.54,1.58,3292,3157.7,134.3,4%,1.52,,,
