model,precision,prep_time,NMS_time,latency,inference_time,total_time,FPS,experiment_time,expected_time,diff,%_diff,real_FPS
yolov5n,fp16,5.688403845,3.524642515,9.21304636,83.84737682,93.06042318,10.74570656,556,465.3,90.7,19.5%,8.99
yolov5s,fp16,5.296686745,3.589271832,8.885958576,169.2224995,178.1084581,5.614556494,983,890.5,92.5,10%,5.09
yolov5m,fp16,5.827759552,5.114538765,10.94229832,313.6517306,324.5940289,3.080771397,1749,1623.0,126.0,8%,2.86
yolov5l,fp16,6.078462172,4.696882629,10.7753448,611.3489533,622.1242981,1.607395826,3252,3110.6,141.4,5%,1.54
yolov5n6,fp16,4.529780483,2.909150171,7.438930655,98.23287654,105.6718072,9.463262024,615,528.4,86.6,16%,8.13
yolov5s6,fp16,5.332034159,4.071093893,9.403128052,161.3955138,170.7986419,5.854847492,952,854.0,98.0,11%,5.25
yolov5m6,fp16,5.343587494,5.523377943,10.86696544,317.817175,328.6841404,3.042434596,1776,1643.4,132.6,8%,2.82
yolov5l6,fp16,5.742592335,5.270322037,11.01291437,617.0019271,628.0148415,1.592319057,3280,3140.1,139.9,4%,1.52
